Epoch:188   Accuracy:82.01
Epoch:189   Accuracy:82.52
Epoch:190   Accuracy:82.19
Epoch:191   Accuracy:81.79
Epoch:192   Accuracy:82.32
Epoch:193   Accuracy:81.93
Epoch:194   Accuracy:81.76
Epoch:195   Accuracy:82.40
Epoch:196   Accuracy:82.42
Epoch:197   Accuracy:82.60
Epoch:198   Accuracy:82.04
Epoch:199   Accuracy:82.43
Epoch:200   Accuracy:82.36
Epoch:201   Accuracy:82.18
Epoch:202   Accuracy:82.01
Epoch:203   Accuracy:82.30
Epoch:204   Accuracy:82.16
Epoch:205   Accuracy:82.60
Epoch:206   Accuracy:82.34
Epoch:207   Accuracy:82.52
Epoch:208   Accuracy:82.20
Epoch:209   Accuracy:82.30
Epoch:210   Accuracy:81.92
Epoch:211   Accuracy:82.09
Epoch:212   Accuracy:82.14
Epoch:213   Accuracy:82.21
Epoch:214   Accuracy:81.99
Epoch:215   Accuracy:82.13
Epoch:216   Accuracy:82.04
Epoch:217   Accuracy:82.61
Epoch:218   Accuracy:82.07
Epoch:219   Accuracy:81.67
Epoch:220   Accuracy:82.11
Epoch:221   Accuracy:81.44
Epoch:222   Accuracy:82.05
Epoch:223   Accuracy:82.07
Epoch:224   Accuracy:82.34
Epoch:225   Accuracy:82.04
Epoch:226   Accuracy:81.91
Epoch:227   Accuracy:82.41
Epoch:228   Accuracy:82.18
Epoch:229   Accuracy:82.14
Epoch:230   Accuracy:82.50
Epoch:231   Accuracy:81.97
Epoch:232   Accuracy:82.36
Epoch:233   Accuracy:82.37
Epoch:234   Accuracy:82.13
Epoch:235   Accuracy:82.12
Epoch:236   Accuracy:81.70
Epoch:237   Accuracy:82.55
Epoch:238   Accuracy:81.91
Epoch:239   Accuracy:81.92
Epoch:240   Accuracy:81.49
Epoch:241   Accuracy:82.71
Epoch:242   Accuracy:82.57
Epoch:243   Accuracy:82.21
Epoch:244   Accuracy:81.85
Epoch:245   Accuracy:82.53
Epoch:246   Accuracy:82.24
Epoch:247   Accuracy:82.65
Epoch:248   Accuracy:82.53
Epoch:249   Accuracy:82.00
Epoch:250   Accuracy:82.19
Epoch:251   Accuracy:82.09
Epoch:252   Accuracy:82.44
Epoch:253   Accuracy:82.00
Epoch:254   Accuracy:82.63
Epoch:255   Accuracy:82.75
Epoch:256   Accuracy:83.25
Epoch:257   Accuracy:82.09
Epoch:258   Accuracy:82.45
Epoch:259   Accuracy:82.59
Epoch:260   Accuracy:82.01
Epoch:261   Accuracy:82.72
Epoch:262   Accuracy:82.38
Epoch:263   Accuracy:82.29
Epoch:264   Accuracy:82.71
Epoch:265   Accuracy:82.23
Epoch:266   Accuracy:82.79
Epoch:267   Accuracy:81.99
Epoch:268   Accuracy:82.01
Epoch:269   Accuracy:82.14
Epoch:270   Accuracy:81.85
Epoch:271   Accuracy:82.47
Epoch:272   Accuracy:82.24
Epoch:273   Accuracy:82.41
Epoch:274   Accuracy:82.22
Epoch:275   Accuracy:81.84
Epoch:276   Accuracy:82.34
Epoch:277   Accuracy:82.84
Epoch:278   Accuracy:82.44
Epoch:279   Accuracy:82.87
Epoch:280   Accuracy:82.12
Epoch:281   Accuracy:82.39
Epoch:282   Accuracy:82.26
Epoch:283   Accuracy:82.64
Epoch:284   Accuracy:82.04
Epoch:285   Accuracy:81.93
