Numer of labeled samples:34926   AUC:0.914
Numer of labeled samples:35066   AUC:0.906
Numer of labeled samples:35292   AUC:0.906
Numer of labeled samples:35041   AUC:0.914
Numer of labeled samples:35144   AUC:0.913
Numer of labeled samples:35101   AUC:0.903
Numer of labeled samples:35093   AUC:0.913
Numer of labeled samples:35272   AUC:0.925
Numer of labeled samples:34983   AUC:0.905
Numer of labeled samples:34780   AUC:0.901
Numer of labeled samples:35009   AUC:0.894
Numer of labeled samples:34707   AUC:0.913
Numer of labeled samples:35340   AUC:0.903
Numer of labeled samples:35140   AUC:0.902
Numer of labeled samples:35309   AUC:0.905
Numer of labeled samples:35670   AUC:0.932
Numer of labeled samples:34948   AUC:0.891
Numer of labeled samples:35095   AUC:0.907
Numer of labeled samples:35227   AUC:0.907
Numer of labeled samples:34800   AUC:0.882
Numer of labeled samples:35116   AUC:0.918
Numer of labeled samples:35192   AUC:0.923
Numer of labeled samples:35265   AUC:0.923
Numer of labeled samples:34976   AUC:0.903
Numer of labeled samples:35087   AUC:0.893
Numer of labeled samples:35171   AUC:0.929
Numer of labeled samples:35416   AUC:0.916
Numer of labeled samples:34917   AUC:0.895
Numer of labeled samples:35128   AUC:0.922
Numer of labeled samples:35048   AUC:0.926
Numer of labeled samples:35405   AUC:0.907
Numer of labeled samples:34913   AUC:0.915
Numer of labeled samples:35150   AUC:0.911
Numer of labeled samples:35149   AUC:0.916
Numer of labeled samples:35166   AUC:0.901
Numer of labeled samples:34982   AUC:0.902
Numer of labeled samples:35316   AUC:0.920
Numer of labeled samples:34970   AUC:0.906
Numer of labeled samples:35344   AUC:0.907
Numer of labeled samples:35327   AUC:0.923
Numer of labeled samples:35438   AUC:0.908
Numer of labeled samples:34889   AUC:0.893
Numer of labeled samples:34994   AUC:0.908
Numer of labeled samples:34966   AUC:0.895
Numer of labeled samples:35345   AUC:0.901
Numer of labeled samples:34920   AUC:0.919
Numer of labeled samples:35273   AUC:0.920
Numer of labeled samples:35052   AUC:0.892
Numer of labeled samples:35247   AUC:0.906
Numer of labeled samples:35051   AUC:0.906
Numer of labeled samples:35419   AUC:0.905
Numer of labeled samples:35308   AUC:0.895
Numer of labeled samples:35462   AUC:0.908
Numer of labeled samples:35026   AUC:0.900
Numer of labeled samples:35647   AUC:0.922
Numer of labeled samples:35118   AUC:0.892
Numer of labeled samples:35249   AUC:0.900
Numer of labeled samples:34944   AUC:0.916
Numer of labeled samples:35134   AUC:0.910
Numer of labeled samples:35274   AUC:0.914
Numer of labeled samples:35218   AUC:0.914
Numer of labeled samples:34863   AUC:0.906
Numer of labeled samples:35485   AUC:0.917
Numer of labeled samples:35127   AUC:0.893
Numer of labeled samples:35153   AUC:0.884
Numer of labeled samples:35249   AUC:0.906
Numer of labeled samples:35435   AUC:0.891
Numer of labeled samples:35391   AUC:0.885
Numer of labeled samples:35425   AUC:0.920
Numer of labeled samples:35121   AUC:0.904
Numer of labeled samples:35225   AUC:0.922
Numer of labeled samples:35107   AUC:0.911
Numer of labeled samples:35331   AUC:0.914
Numer of labeled samples:35297   AUC:0.907
Numer of labeled samples:35265   AUC:0.921
Numer of labeled samples:34945   AUC:0.892
Numer of labeled samples:35459   AUC:0.918
Numer of labeled samples:35330   AUC:0.910
Numer of labeled samples:35448   AUC:0.926
Numer of labeled samples:35373   AUC:0.894
Numer of labeled samples:35420   AUC:0.890
Numer of labeled samples:35292   AUC:0.911
Numer of labeled samples:35615   AUC:0.904
Numer of labeled samples:34816   AUC:0.897
Numer of labeled samples:35315   AUC:0.897
Numer of labeled samples:35141   AUC:0.918
Numer of labeled samples:35056   AUC:0.891
Numer of labeled samples:35261   AUC:0.902
Numer of labeled samples:35188   AUC:0.892
Numer of labeled samples:34890   AUC:0.902
Numer of labeled samples:35181   AUC:0.908
Numer of labeled samples:35333   AUC:0.895
Numer of labeled samples:35320   AUC:0.911
Numer of labeled samples:35233   AUC:0.889
Numer of labeled samples:35245   AUC:0.899
Numer of labeled samples:35313   AUC:0.910
Numer of labeled samples:35300   AUC:0.911
Numer of labeled samples:35093   AUC:0.915
Numer of labeled samples:35312   AUC:0.886
Numer of labeled samples:34865   AUC:0.905
Numer of labeled samples:35150   AUC:0.901
Numer of labeled samples:35322   AUC:0.896
Numer of labeled samples:35010   AUC:0.905
Numer of labeled samples:34988   AUC:0.901
Numer of labeled samples:35233   AUC:0.906
Numer of labeled samples:35241   AUC:0.913
Numer of labeled samples:35353   AUC:0.899
Numer of labeled samples:35046   AUC:0.918
Numer of labeled samples:35387   AUC:0.899
Numer of labeled samples:35299   AUC:0.906
Numer of labeled samples:35481   AUC:0.914
Numer of labeled samples:35365   AUC:0.910
Numer of labeled samples:35390   AUC:0.917
Numer of labeled samples:35129   AUC:0.910
Numer of labeled samples:35529   AUC:0.908
Numer of labeled samples:35317   AUC:0.908
Numer of labeled samples:35325   AUC:0.921
Numer of labeled samples:34940   AUC:0.899
Numer of labeled samples:35714   AUC:0.902
Numer of labeled samples:35172   AUC:0.907
Numer of labeled samples:35331   AUC:0.895
Numer of labeled samples:35452   AUC:0.911
Numer of labeled samples:35215   AUC:0.908
Numer of labeled samples:35046   AUC:0.916
Numer of labeled samples:35493   AUC:0.907
Numer of labeled samples:35067   AUC:0.924
Numer of labeled samples:35272   AUC:0.903
Numer of labeled samples:35146   AUC:0.898
Numer of labeled samples:35296   AUC:0.914
Numer of labeled samples:35278   AUC:0.893
Numer of labeled samples:35772   AUC:0.891
Numer of labeled samples:35561   AUC:0.906
Numer of labeled samples:35757   AUC:0.897
Numer of labeled samples:35719   AUC:0.903
Numer of labeled samples:35763   AUC:0.905
Numer of labeled samples:35778   AUC:0.898
Numer of labeled samples:35761   AUC:0.900
Numer of labeled samples:35689   AUC:0.910
Numer of labeled samples:35740   AUC:0.901
Numer of labeled samples:35782   AUC:0.902
Numer of labeled samples:35857   AUC:0.908
Numer of labeled samples:35798   AUC:0.907
Numer of labeled samples:35828   AUC:0.900
Numer of labeled samples:35764   AUC:0.908
Numer of labeled samples:35879   AUC:0.905
Numer of labeled samples:35814   AUC:0.901
Numer of labeled samples:35854   AUC:0.901
Numer of labeled samples:35791   AUC:0.906
Numer of labeled samples:35868   AUC:0.902
Numer of labeled samples:35808   AUC:0.902
Numer of labeled samples:35902   AUC:0.895
Numer of labeled samples:35785   AUC:0.909
Numer of labeled samples:35855   AUC:0.898
Numer of labeled samples:35821   AUC:0.903
Numer of labeled samples:35889   AUC:0.898
Numer of labeled samples:35792   AUC:0.910
Numer of labeled samples:35916   AUC:0.886
Numer of labeled samples:35856   AUC:0.900
Numer of labeled samples:35922   AUC:0.898
Numer of labeled samples:35837   AUC:0.897
Numer of labeled samples:35895   AUC:0.900
Numer of labeled samples:35878   AUC:0.910
Numer of labeled samples:35896   AUC:0.906
Numer of labeled samples:35823   AUC:0.908
Numer of labeled samples:35903   AUC:0.891
Numer of labeled samples:35889   AUC:0.912
Numer of labeled samples:35900   AUC:0.899
Numer of labeled samples:35833   AUC:0.903
Numer of labeled samples:35872   AUC:0.898
Numer of labeled samples:35867   AUC:0.904
Numer of labeled samples:35908   AUC:0.892
Numer of labeled samples:35866   AUC:0.893
Numer of labeled samples:35912   AUC:0.907
Numer of labeled samples:35855   AUC:0.900
Numer of labeled samples:35880   AUC:0.908
Numer of labeled samples:35873   AUC:0.905
Numer of labeled samples:35937   AUC:0.895
Numer of labeled samples:35866   AUC:0.894
Numer of labeled samples:35905   AUC:0.896
Numer of labeled samples:35891   AUC:0.900
Numer of labeled samples:35924   AUC:0.889
Numer of labeled samples:35839   AUC:0.894
Numer of labeled samples:35928   AUC:0.905
Numer of labeled samples:35898   AUC:0.898
Numer of labeled samples:35938   AUC:0.891
Numer of labeled samples:35890   AUC:0.895
Numer of labeled samples:35941   AUC:0.893
Numer of labeled samples:35889   AUC:0.899
Numer of labeled samples:35917   AUC:0.889
Numer of labeled samples:35878   AUC:0.912
Numer of labeled samples:35928   AUC:0.885
Numer of labeled samples:35892   AUC:0.897
Numer of labeled samples:35932   AUC:0.895
Numer of labeled samples:35891   AUC:0.894
Numer of labeled samples:35915   AUC:0.900
Numer of labeled samples:35902   AUC:0.893
Numer of labeled samples:35923   AUC:0.902
Numer of labeled samples:35898   AUC:0.891
Numer of labeled samples:35941   AUC:0.898
Numer of labeled samples:35905   AUC:0.890
Numer of labeled samples:35958   AUC:0.893
Numer of labeled samples:35883   AUC:0.886
Numer of labeled samples:35921   AUC:0.892
Numer of labeled samples:35902   AUC:0.911
Numer of labeled samples:35930   AUC:0.899
Numer of labeled samples:35911   AUC:0.899
Numer of labeled samples:35941   AUC:0.901
Numer of labeled samples:35906   AUC:0.895
Numer of labeled samples:35918   AUC:0.921
Numer of labeled samples:35894   AUC:0.907
Numer of labeled samples:35917   AUC:0.902
Numer of labeled samples:35910   AUC:0.896
Numer of labeled samples:35909   AUC:0.890
Numer of labeled samples:35898   AUC:0.893
Numer of labeled samples:35927   AUC:0.905
Numer of labeled samples:35887   AUC:0.911
Numer of labeled samples:35915   AUC:0.891
Numer of labeled samples:35913   AUC:0.905
Numer of labeled samples:35920   AUC:0.904
Numer of labeled samples:35914   AUC:0.893
Numer of labeled samples:35923   AUC:0.893
Numer of labeled samples:35922   AUC:0.899
Numer of labeled samples:35933   AUC:0.904
Numer of labeled samples:35918   AUC:0.906
Numer of labeled samples:35932   AUC:0.896
Numer of labeled samples:35915   AUC:0.909
Numer of labeled samples:35911   AUC:0.879
