Epoch:188   Accuracy:92.63
Epoch:189   Accuracy:92.55
Epoch:190   Accuracy:92.75
Epoch:191   Accuracy:92.79
Epoch:192   Accuracy:92.59
Epoch:193   Accuracy:92.68
Epoch:194   Accuracy:92.60
Epoch:195   Accuracy:92.55
Epoch:196   Accuracy:92.38
Epoch:197   Accuracy:92.55
Epoch:198   Accuracy:92.50
Epoch:199   Accuracy:92.85
Epoch:200   Accuracy:92.57
Epoch:201   Accuracy:92.59
Epoch:202   Accuracy:92.72
Epoch:203   Accuracy:92.85
Epoch:204   Accuracy:92.70
Epoch:205   Accuracy:92.52
Epoch:206   Accuracy:92.79
Epoch:207   Accuracy:92.71
Epoch:208   Accuracy:92.48
Epoch:209   Accuracy:92.92
Epoch:210   Accuracy:92.74
Epoch:211   Accuracy:92.64
Epoch:212   Accuracy:92.82
Epoch:213   Accuracy:92.36
Epoch:214   Accuracy:92.66
Epoch:215   Accuracy:92.64
Epoch:216   Accuracy:92.80
Epoch:217   Accuracy:92.82
Epoch:218   Accuracy:92.77
Epoch:219   Accuracy:92.76
Epoch:220   Accuracy:92.65
Epoch:221   Accuracy:92.81
Epoch:222   Accuracy:92.93
Epoch:223   Accuracy:92.86
Epoch:224   Accuracy:92.55
Epoch:225   Accuracy:92.76
Epoch:226   Accuracy:92.73
Epoch:227   Accuracy:92.59
Epoch:228   Accuracy:92.97
Epoch:229   Accuracy:92.81
Epoch:230   Accuracy:92.83
Epoch:231   Accuracy:92.78
Epoch:232   Accuracy:92.86
Epoch:233   Accuracy:92.41
Epoch:234   Accuracy:92.90
Epoch:235   Accuracy:92.63
Epoch:236   Accuracy:92.72
Epoch:237   Accuracy:92.72
Epoch:238   Accuracy:92.73
Epoch:239   Accuracy:92.82
Epoch:240   Accuracy:92.67
Epoch:241   Accuracy:92.66
Epoch:242   Accuracy:92.95
Epoch:243   Accuracy:92.70
Epoch:244   Accuracy:92.63
Epoch:245   Accuracy:93.02
Epoch:246   Accuracy:92.58
Epoch:247   Accuracy:92.91
Epoch:248   Accuracy:92.84
Epoch:249   Accuracy:92.68
Epoch:250   Accuracy:92.61
Epoch:251   Accuracy:92.80
Epoch:252   Accuracy:92.82
Epoch:253   Accuracy:93.06
Epoch:254   Accuracy:93.05
Epoch:255   Accuracy:92.75
Epoch:256   Accuracy:92.79
Epoch:257   Accuracy:92.87
Epoch:258   Accuracy:92.76
Epoch:259   Accuracy:92.83
Epoch:260   Accuracy:92.86
Epoch:261   Accuracy:92.86
Epoch:262   Accuracy:92.97
Epoch:263   Accuracy:93.16
Epoch:264   Accuracy:92.96
Epoch:265   Accuracy:92.83
Epoch:266   Accuracy:92.48
Epoch:267   Accuracy:92.60
Epoch:268   Accuracy:93.08
Epoch:269   Accuracy:92.77
Epoch:270   Accuracy:92.75
Epoch:271   Accuracy:92.84
Epoch:272   Accuracy:93.19
Epoch:273   Accuracy:93.05
Epoch:274   Accuracy:92.90
Epoch:275   Accuracy:93.19
Epoch:276   Accuracy:93.00
Epoch:277   Accuracy:92.90
Epoch:278   Accuracy:92.96
Epoch:279   Accuracy:92.86
Epoch:280   Accuracy:93.11
Epoch:281   Accuracy:93.01
Epoch:282   Accuracy:92.80
Epoch:283   Accuracy:92.78
Epoch:284   Accuracy:92.81
Epoch:285   Accuracy:92.86
Epoch:286   Accuracy:92.80
Epoch:287   Accuracy:92.90
Epoch:288   Accuracy:92.91
Epoch:289   Accuracy:92.68
Epoch:290   Accuracy:92.85
Epoch:291   Accuracy:92.87
Epoch:292   Accuracy:92.88
Epoch:293   Accuracy:93.00
Epoch:294   Accuracy:92.85
Epoch:295   Accuracy:92.87
Epoch:296   Accuracy:93.03
Epoch:297   Accuracy:92.80
Epoch:298   Accuracy:92.87
Epoch:299   Accuracy:92.98
Epoch:300   Accuracy:92.87
