Numer of labeled samples:13891   AUC:0.984
Numer of labeled samples:13802   AUC:0.984
Numer of labeled samples:13758   AUC:0.985
Numer of labeled samples:13719   AUC:0.986
Numer of labeled samples:13833   AUC:0.985
Numer of labeled samples:13642   AUC:0.983
Numer of labeled samples:13764   AUC:0.985
Numer of labeled samples:13833   AUC:0.985
Numer of labeled samples:13759   AUC:0.985
Numer of labeled samples:13755   AUC:0.986
Numer of labeled samples:13751   AUC:0.986
Numer of labeled samples:13846   AUC:0.986
Numer of labeled samples:13752   AUC:0.986
Numer of labeled samples:13582   AUC:0.982
Numer of labeled samples:13656   AUC:0.981
Numer of labeled samples:13827   AUC:0.983
Numer of labeled samples:13781   AUC:0.983
Numer of labeled samples:13825   AUC:0.984
Numer of labeled samples:13779   AUC:0.985
Numer of labeled samples:13826   AUC:0.987
Numer of labeled samples:13802   AUC:0.984
Numer of labeled samples:13693   AUC:0.984
Numer of labeled samples:13846   AUC:0.986
Numer of labeled samples:13808   AUC:0.986
Numer of labeled samples:13853   AUC:0.986
Numer of labeled samples:13808   AUC:0.986
Numer of labeled samples:13834   AUC:0.986
Numer of labeled samples:13865   AUC:0.985
Numer of labeled samples:13816   AUC:0.986
Numer of labeled samples:13809   AUC:0.986
Numer of labeled samples:13851   AUC:0.986
Numer of labeled samples:13780   AUC:0.986
Numer of labeled samples:13863   AUC:0.984
Numer of labeled samples:13822   AUC:0.988
Numer of labeled samples:13830   AUC:0.986
Numer of labeled samples:13911   AUC:0.986
Numer of labeled samples:13807   AUC:0.986
Numer of labeled samples:13805   AUC:0.985
Numer of labeled samples:13863   AUC:0.986
Numer of labeled samples:13876   AUC:0.987
Numer of labeled samples:13906   AUC:0.987
Numer of labeled samples:13765   AUC:0.985
Numer of labeled samples:13907   AUC:0.986
Numer of labeled samples:13908   AUC:0.987
Numer of labeled samples:13869   AUC:0.987
Numer of labeled samples:13867   AUC:0.987
Numer of labeled samples:13947   AUC:0.986
Numer of labeled samples:13902   AUC:0.987
Numer of labeled samples:13886   AUC:0.988
Numer of labeled samples:13932   AUC:0.986
Numer of labeled samples:13841   AUC:0.987
Numer of labeled samples:13920   AUC:0.985
Numer of labeled samples:13906   AUC:0.987
Numer of labeled samples:13847   AUC:0.985
Numer of labeled samples:13874   AUC:0.987
Numer of labeled samples:13883   AUC:0.988
Numer of labeled samples:13905   AUC:0.987
